code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10028319,GOOD DAY 20% EXTRA,PCS,6,0,20,17.84,19,HINDUSTAN UNILEVER LTD,
10027119,GOOD LUCK,PCS,-6,0,10,9,10,HINDUSTAN UNILEVER LTD,8901751004564
10027433,GOOD LUCK,PCS,-4,0,10,9,10,HINDUSTAN UNILEVER LTD,8901751004588
10027511,GOOD LUCK,PCS,-4,0,10,9,10,HINDUSTAN UNILEVER LTD,8901751004595
10026487,GOOD LUCK 20G,PCS,-9,0,10,8.5,10,GENERAL,8901751004571
10026166,GOOD LUCK JASMINE,PCS,-7,0,12,9.52,12,TEMPTIN,8901751009507
10026165,GOOD LUCK LAVENDER,PCS,-1,0,12,9.52,12,TEMPTIN,8901751009521
10026164,GOOD LUCK ROSE,.PCS,1,0,12,9.52,12,TEMPTIN,8901751009491
10026317,GOOD NIGHT,PCS,13,78,89,78,85,GODREJ,8901023019715
10026541,GOOD NIGHT,PCS,38,0,75,70,72,GENERAL,8901023019722
10000824,Good Night Adv Act+Cartidge 72/-,PACK,9,0,72,0,70,GODREJ,8901157001143
10014456,Good Night Adv Act+Cartridge,PACK,1,0,72,0,70,GODREJ,8901023014468
10000820,Good Night Adv Express Cartridge,PACK,2,66,72,66,85,GODREJ,8901023011719
10005789,Good Night FAST CARD 10/-,PACK,52,0,10,0,10,GODREJ,8901023011276
10028416,GOODRICK,PCS,-1,0,10,9,10,HINDUSTAN UNILEVER LTD,8904013431016
10025851,GOODRICK CHAI 250G+50,PCS,8,65,80,65,75,FSSAI,8904013411049
10026678,GOODRICKE 1Kg,PCS,11,250,350,250,300,HINDUSTAN UNILEVER LTD,8904013411964
